"","Freq","Genes"
"BRAF",284,"BRAF"
"NRAS",39,"NRAS"
"TTN",25,"TTN"
"TG",19,"TG"
"HRAS",17,"HRAS"
"MUC16",14,"MUC16"
"BDP1",10,"BDP1"
"HMCN1",10,"HMCN1"
"KMT2A",9,"KMT2A"
"MACF1",9,"MACF1"
"EIF1AX",8,"EIF1AX"
"SPTA1",8,"SPTA1"
"DNAH9",7,"DNAH9"
"INTS2",7,"INTS2"
"KIAA1109",7,"KIAA1109"
"ADGRV1",6,"ADGRV1"
"ATM",6,"ATM"
"DNAH2",6,"DNAH2"
"DNAH8",6,"DNAH8"
"GOLGA4",6,"GOLGA4"
"JMJD1C",6,"JMJD1C"
"LRRK2",6,"LRRK2"
"MXRA5",6,"MXRA5"
"RBBP6",6,"RBBP6"
"SMC3",6,"SMC3"
"USP9X",6,"USP9X"
"VPS13A",6,"VPS13A"
"ZFHX3",6,"ZFHX3"
"AKAP9",5,"AKAP9"
"AKT1",5,"AKT1"
"APC",5,"APC"
"APOB",5,"APOB"
"ARFGEF2",5,"ARFGEF2"
"BPTF",5,"BPTF"
"BRCA1",5,"BRCA1"
"CHEK2",5,"CHEK2"
"CNTLN",5,"CNTLN"
"CSMD2",5,"CSMD2"
"DNMT3A",5,"DNMT3A"
"GBF1",5,"GBF1"
"GRIN2B",5,"GRIN2B"
"KMT2C",5,"KMT2C"
"LRP1B",5,"LRP1B"
"MKI67",5,"MKI67"
"MYH13",5,"MYH13"
"NAV3",5,"NAV3"
"NIPBL",5,"NIPBL"
"PKHD1",5,"PKHD1"
"PPM1D",5,"PPM1D"
"PTPRZ1",5,"PTPRZ1"
"RAPGEF6",5,"RAPGEF6"
"RP1",5,"RP1"
"RYR1",5,"RYR1"
"ABCA12",4,"ABCA12"
"ABCB11",4,"ABCB11"
"AIM1",4,"AIM1"
"AP3B1",4,"AP3B1"
"ARID2",4,"ARID2"
"ATAD5",4,"ATAD5"
"BRCA2",4,"BRCA2"
"C2CD3",4,"C2CD3"
"CCDC180",4,"CCDC180"
"CCDC30",4,"CCDC30"
"CDKAL1",4,"CDKAL1"
"CELSR1",4,"CELSR1"
"CEP350",4,"CEP350"
"CNTN5",4,"CNTN5"
"COL5A3",4,"COL5A3"
"CSMD3",4,"CSMD3"
"DAAM1",4,"DAAM1"
"DNAH10",4,"DNAH10"
"DNAJC13",4,"DNAJC13"
"DOCK7",4,"DOCK7"
"EPG5",4,"EPG5"
