p.value	HR	Low 95%CI	High 95%CI
A4GALT	0.0397044712764801	0.610602130211353	0.381596472872462	0.9770398521038
ABCA10	0.306134635544689	1.64061763020551	0.635656651520428	4.23440264819542
ABCA4	0.579758960127388	0.793032031094091	0.349002068803672	1.80199448243099
ABCA6	0.761567071834947	1.14058146446643	0.487662141104606	2.6676790495519
ABCA9	0.613262646557987	1.21787962525633	0.567075734221955	2.6155779415417
ABCC10	0.19459571084565	1.84707121015139	0.730833421590808	4.66819381076459
ABL2	0.648621907670222	1.18529876464474	0.570530574221471	2.46250284375288
AC012651.1	0.110440346565136	1.38296457038795	0.928777930584242	2.05925543659852
AC013394.1	0.197995994786368	2.71431626436346	0.593453176076175	12.414648838348
AC090004.1	0.215196069706303	1.45835017198628	0.803035150665006	2.64843353665302
ACAP3	0.206194588133741	1.66586485027695	0.755076600174105	3.67526380601431
ACAT1	0.349027514657045	0.79794484709455	0.497520271770685	1.27977896606838
ACIN1	0.197479246125914	1.73506989114059	0.750520015397659	4.01117553879966
ACKR4	0.230455185615572	1.51927891717048	0.766950379493101	3.00959291484315
ACSL5	0.869243796373758	0.971857404971308	0.691827481585188	1.36523460073227
ACTA2	0.498104792865729	0.858881315022295	0.55309392468751	1.33372846883322
ACTN1	0.235309555800861	0.770296940865809	0.500583338798141	1.18533185409611
ACTN4	0.891245502174223	1.05362972346911	0.498266299375271	2.22799654636383
ADAM12	0.555147624219464	1.09241299058942	0.814480389103349	1.46518707874879
ADAM23	0.997382988230994	0.998555505056841	0.420949535951645	2.36872359159427
ADAM32	0.730056494050026	2.01780202502047	0.0374196410903464	108.807163658956
ADAMTS1	0.332217306969222	0.831417398115024	0.572466187181619	1.20750343927134
ADAMTS10	0.841762436911258	1.05271971224098	0.635707095681535	1.74328523319788
ADAMTS12	0.730452535132664	0.911087632947445	0.536415699971101	1.54745782972888
ADAMTS14	0.388292531718826	1.13851174794393	0.847905113912156	1.52871940378535
ADAMTS2	0.506528591052777	1.11853527033866	0.803715724005056	1.55667123788126
