geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
1	hsa04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04510+10398+1277+1278+1282+1284+1291+1292+1293+1298+1311+2064+22801+2316+2318+3082+3371+3480+3673+3678+3679+3680+3688+3691+3693+3696+3909+3910+3911+3912+4638+4660+5154+5156+5159+5293+55742+5923+595+6464+6714+7057+7058+7059+7094+7148+7408+7414+7791+81+8516+857+87+9475	190	53	19.3807546488536	2.73467163483931	2.25919283280973e-12	6.732394641773e-10	10398;1277;1278;1282;1284;1291;1292;1293;1298;1311;2064;22801;2316;2318;3082;3371;3480;3673;3678;3679;3680;3688;3691;3693;3696;3909;3910;3911;3912;4638;4660;5154;5156;5159;5293;55742;5923;595;6464;6714;7057;7058;7059;7094;7148;7408;7414;7791;81;8516;857;87;9475	ACTN1;ACTN4;CAV1;CCND1;COL1A1;COL1A2;COL4A1;COL4A2;COL6A1;COL6A2;COL6A3;COL9A2;COMP;ERBB2;FLNA;FLNC;HGF;IGF1R;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LAMA3;LAMA4;LAMA5;LAMB1;MYL9;MYLK;PARVA;PDGFA;PDGFRA;PDGFRB;PIK3CD;PPP1R12B;RASGRF1;ROCK2;SHC1;SRC;THBS1;THBS2;THBS3;TLN1;TNC;TNXB;VASP;VCL;ZYX	pathway_KEGG
2	hsa04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04512+1277+1278+1282+1284+1291+1292+1293+1298+1311+22801+3339+3371+3673+3678+3679+3680+3688+3691+3693+3696+375790+3909+3910+3911+3912+6385+7057+7058+7059+7148+8516	81	31	8.26232171872179	3.75197203102808	1.44413370151142e-11	2.15175921525201e-09	1277;1278;1282;1284;1291;1292;1293;1298;1311;22801;3339;3371;3673;3678;3679;3680;3688;3691;3693;3696;375790;3909;3910;3911;3912;6385;7057;7058;7059;7148;8516	AGRN;COL1A1;COL1A2;COL4A1;COL4A2;COL6A1;COL6A2;COL6A3;COL9A2;COMP;HSPG2;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LAMA3;LAMA4;LAMA5;LAMB1;SDC4;THBS1;THBS2;THBS3;TNC;TNXB	pathway_KEGG
3	hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+1388+1437+153090+182+1906+2353+2920+2921+3383+355+3551+3569+3726+3976+4217+4323+5293+5743+602+6401+7128+7132+7133+7185+7412+840+841+843+8809+8837+9020+9021+9586	108	33	11.0164289582957	2.99552605703048	3.05125058552846e-09	3.03090891495827e-07	1388;1437;153090;182;1906;2353;2920;2921;3383;355;3551;3569;3726;3976;4217;4323;5293;5743;602;6401;7128;7132;7133;7185;7412;840;841;843;8809;8837;9020;9021;9586	ATF6B;BCL3;CASP10;CASP7;CASP8;CFLAR;CREB5;CSF2;CXCL2;CXCL3;DAB2IP;EDN1;FAS;FOS;ICAM1;IKBKB;IL18R1;IL6;JAG1;JUNB;LIF;MAP3K14;MAP3K5;MMP14;PIK3CD;PTGS2;SELE;SOCS3;TNFAIP3;TNFRSF1A;TNFRSF1B;TRAF1;VCAM1	pathway_KEGG
4	hsa05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+10161+1030+109+112+113+115727+1282+1284+1439+1612+182+1909+196883+2064+2113+2122+2149+2246+2261+2271+23493+2353+26508+2735+2736+2771+2776+2784+2846+28514+3082+3455+3459+3460+3480+3481+355+3551+3569+3570+3597+3673+3688+3714+3909+3910+3911+3912+4088+4313+4609+4791+4851+4854+5154+5156+5159+51684+5293+5331+5335+5371+5743+57449+5900+5914+59345+595+6387+652+6773+6775+6934+7040+7043+7185+7472+8323+840+841+861+862+8643+8817+9138+9475	487	86	49.6759342841668	1.73122058476132	9.1323413276001e-08	5.92755648485266e-06	10161;1030;109;112;113;115727;1282;1284;1439;1612;182;1909;196883;2064;2113;2122;2149;2246;2261;2271;23493;2353;26508;2735;2736;2771;2776;2784;2846;28514;3082;3455;3459;3460;3480;3481;355;3551;3569;3570;3597;3673;3688;3714;3909;3910;3911;3912;4088;4313;4609;4791;4851;4854;5154;5156;5159;51684;5293;5331;5335;5371;5743;57449;5900;5914;59345;595;6387;652;6773;6775;6934;7040;7043;7185;7472;8323;840;841;861;862;8643;8817;9138;9475	ADCY3;ADCY4;ADCY6;ADCY7;ARHGEF1;BMP4;CASP7;CASP8;CCND1;CDKN2B;COL4A1;COL4A2;CSF2RB;CXCL12;DAPK1;DLL1;EDNRA;ERBB2;ETS1;F2R;FAS;FGF1;FGF18;FGFR3;FH;FOS;FZD6;GLI1;GLI2;GNAI2;GNAQ;GNB3;GNB4;HEY2;HEYL;HGF;IFNAR2;IFNGR1;IFNGR2;IGF1R;IGF2;IKBKB;IL13RA1;IL6;IL6R;ITGA2;ITGB1;JAG1;JAG2;LAMA3;LAMA4;LAMA5;LAMB1;LPAR4;LPAR6;MECOM;MMP2;MYC;NFKB2;NOTCH1;NOTCH3;PDGFA;PDGFRA;PDGFRB;PIK3CD;PLCB3;PLCG1;PLEKHG5;PML;PTCH2;PTGS2;RALGDS;RARA;RASGRP4;ROCK2;RUNX1;RUNX1T1;SMAD3;STAT2;STAT4;SUFU;TCF7L2;TGFB1;TGFB3;TRAF1;WNT2	pathway_KEGG
5	hsa04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04010+115727+1843+1846+1847+1848+1849+1942+1969+2005+2064+2122+2246+2261+2316+23162+2318+2353+284+3082+3164+3480+3481+355+3551+3554+3556+3727+4214+4215+4217+4609+4615+4772+4791+4908+5154+5156+5159+5321+5598+5922+5923+6237+627+7010+7040+7043+7132+775+7786+782+84867+8569+8817+9020+9448+994	277	57	28.2551001985918	2.01733490942781	9.94556457190043e-08	5.92755648485266e-06	115727;1843;1846;1847;1848;1849;1942;1969;2005;2064;2122;2246;2261;2316;23162;2318;2353;284;3082;3164;3480;3481;355;3551;3554;3556;3727;4214;4215;4217;4609;4615;4772;4791;4908;5154;5156;5159;5321;5598;5922;5923;6237;627;7010;7040;7043;7132;775;7786;782;84867;8569;8817;9020;9448;994	ANGPT1;BDNF;CACNA1C;CACNB1;CDC25B;DUSP1;DUSP4;DUSP5;DUSP6;DUSP7;EFNA1;ELK4;EPHA2;ERBB2;FAS;FGF1;FGF18;FGFR3;FLNA;FLNC;FOS;HGF;IGF1R;IGF2;IKBKB;IL1R1;IL1RAP;JUND;MAP3K1;MAP3K12;MAP3K14;MAP3K3;MAP3K5;MAP4K4;MAPK7;MAPK8IP3;MECOM;MKNK1;MYC;MYD88;NFATC1;NFKB2;NR4A1;NTF3;PDGFA;PDGFRA;PDGFRB;PLA2G4A;PTPN5;RASA2;RASGRF1;RASGRP4;RRAS;TEK;TGFB1;TGFB3;TNFRSF1A	pathway_KEGG
6	hsa05206	MicroRNAs in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05206+10253+1788+2064+2261+23414+27086+2744+3371+3551+3678+4170+4609+4851+4854+5154+5156+5159+5328+5335+5598+5743+595+6464+659+6624+6659+6935+7057+7148+7168+7431+8091+8434+8626+9839+994	144	36	14.6885719443943	2.45088495575221	1.94740729209109e-07	9.6386938716529e-06	10253;1788;2064;2261;23414;27086;2744;3371;3551;3678;4170;4609;4851;4854;5154;5156;5159;5328;5335;5598;5743;595;6464;659;6624;6659;6935;7057;7148;7168;7431;8091;8434;8626;9839;994	BMPR2;CCND1;CDC25B;DNMT3A;ERBB2;FGFR3;FOXP1;FSCN1;GLS;HMGA2;IKBKB;ITGA5;MAPK7;MCL1;MYC;NOTCH1;NOTCH3;PDGFA;PDGFRA;PDGFRB;PLAU;PLCG1;PTGS2;RECK;SHC1;SOX4;SPRY2;THBS1;TNC;TNXB;TP63;TPM1;VIM;ZEB1;ZEB2;ZFPM2	pathway_KEGG
7	hsa04151	PI3K-Akt signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04151+10161+1277+1278+1282+1284+1291+1292+1293+1298+1311+1388+1942+1969+2064+2149+2246+2261+22801+2309+2784+284+2846+29941+3082+3164+3371+3455+3480+3481+3551+3569+3570+3673+3678+3679+3680+3688+3691+3693+3696+3909+3910+3911+3912+4170+4609+4846+4908+5154+5156+5159+5293+59345+595+627+7010+7057+7058+7059+7148+8516+8817+9180+9586	333	64	33.9673226214118	1.88416380982753	2.2641227215292e-07	9.6386938716529e-06	10161;1277;1278;1282;1284;1291;1292;1293;1298;1311;1388;1942;1969;2064;2149;2246;2261;22801;2309;2784;284;2846;29941;3082;3164;3371;3455;3480;3481;3551;3569;3570;3673;3678;3679;3680;3688;3691;3693;3696;3909;3910;3911;3912;4170;4609;4846;4908;5154;5156;5159;5293;59345;595;627;7010;7057;7058;7059;7148;8516;8817;9180;9586	ANGPT1;ATF6B;BDNF;CCND1;COL1A1;COL1A2;COL4A1;COL4A2;COL6A1;COL6A2;COL6A3;COL9A2;COMP;CREB5;EFNA1;EPHA2;ERBB2;F2R;FGF1;FGF18;FGFR3;FOXO3;GNB3;GNB4;HGF;IFNAR2;IGF1R;IGF2;IKBKB;IL6;IL6R;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LAMA3;LAMA4;LAMA5;LAMB1;LPAR4;LPAR6;MCL1;MYC;NOS3;NR4A1;NTF3;OSMR;PDGFA;PDGFRA;PDGFRB;PIK3CD;PKN3;TEK;THBS1;THBS2;THBS3;TNC;TNXB	pathway_KEGG
8	hsa04360	Axon guidance	http://www.kegg.jp/kegg-bin/show_pathway?hsa04360+10509+10512+1808+1942+1947+1948+1969+2042+2043+2050+2242+23380+2771+3688+3984+5293+5335+5361+5364+54434+54910+54961+55558+57715+59277+6091+6237+6387+6405+659+6714+7220+8482+8633+8829+9037+91653+9353+9475	165	39	16.8306553529518	2.31720032180209	2.95917701231829e-07	1.10229343708856e-05	10509;10512;1808;1942;1947;1948;1969;2042;2043;2050;2242;23380;2771;3688;3984;5293;5335;5361;5364;54434;54910;54961;55558;57715;59277;6091;6237;6387;6405;659;6714;7220;8482;8633;8829;9037;91653;9353;9475	BMPR2;BOC;CXCL12;DPYSL2;EFNA1;EFNB1;EFNB2;EPHA2;EPHA3;EPHA4;EPHB4;FES;GNAI2;ITGB1;LIMK1;NRP1;NTN4;PIK3CD;PLCG1;PLXNA1;PLXNA3;PLXNB1;ROBO1;ROCK2;RRAS;SEMA3C;SEMA3F;SEMA4B;SEMA4C;SEMA4G;SEMA5A;SEMA7A;SLIT2;SRC;SRGAP2;SSH1;SSH3;TRPC1;UNC5C	pathway_KEGG
9	hsa05414	Dilated cardiomyopathy (DCM)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05414+109+112+113+1756+196883+22801+3673+3678+3679+3680+3688+3691+3693+3696+4000+5350+6443+7040+7043+7168+7169+7171+775+782+8516	83	25	8.46632966239393	2.95287344066532	3.53638509809073e-07	1.1709363991456e-05	109;112;113;1756;196883;22801;3673;3678;3679;3680;3688;3691;3693;3696;4000;5350;6443;7040;7043;7168;7169;7171;775;782;8516	ADCY3;ADCY4;ADCY6;ADCY7;CACNA1C;CACNB1;DMD;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LMNA;PLN;SGCB;TGFB1;TGFB3;TPM1;TPM2;TPM4	pathway_KEGG
10	hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+1277+1278+1281+1282+1284+177+1906+2152+3383+3569+4088+4313+4772+4846+50507+5054+5293+5331+5335+595+6401+7040+7043+7056+7412	97	25	9.89438526809893	2.52668552139403	8.31076650997797e-06	0.000247660841997344	1277;1278;1281;1282;1284;177;1906;2152;3383;3569;4088;4313;4772;4846;50507;5054;5293;5331;5335;595;6401;7040;7043;7056;7412	AGER;CCND1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;EDN1;F3;ICAM1;IL6;MMP2;NFATC1;NOS3;NOX4;PIK3CD;PLCB3;PLCG1;SELE;SERPINE1;SMAD3;TGFB1;TGFB3;THBD;VCAM1	pathway_KEGG
