,rowSums(tcga.mut.dat)
A2M,1
AAAS,1
AACS,1
AADACL2,1
AASDH,2
AASDHPPT,1
ABAT,1
ABCA10,1
ABCA12,4
ABCA13,1
ABCA2,1
ABCA5,2
ABCA6,1
ABCA9,2
ABCB11,4
ABCB5,2
ABCC10,1
ABCC2,2
ABCC9,2
ABCD1,3
ABCD4,1
ABCF1,1
ABCG8,2
ABHD14A-ACY1,1
ABHD16A,2
ABHD2,1
ABHD4,2
ABHD6,1
ABL2,1
ABLIM1,1
ABLIM2,1
ABO,1
ABR,1
ABTB2,1
AC004381.6,1
ACACB,1
ACAD10,2
ACAD11,1
ACAD9,1
ACADL,1
ACADSB,3
ACAN,1
ACAP1,1
ACAP2,1
ACBD5,1
ACBD6,1
ACD,1
ACKR4,1
ACOT12,0
ACOT7,1
ACSM5,1
ACSS3,1
ACTA1,1
ACTB,1
ACTBL2,1
ACTG1,1
ACTL6B,1
ACTL9,1
ACTR3B,1
ACTR6,1
ACVR2A,1
ACVR2B,1
ADAM11,1
ADAM12,1
ADAM15,1
ADAM18,1
ADAM2,1
ADAM8,1
ADAMDEC1,1
ADAMTS15,1
ADAMTS16,2
ADAMTS18,2
ADAMTS19,3
ADAMTS2,1
ADAMTS6,1
ADAMTS8,1
ADAMTS9,3
ADAMTSL1,1
ADAMTSL2,1
ADAMTSL3,2
ADAMTSL4,1
ADAR,1
ADARB1,1
ADARB2,1
ADAT1,1
ADCK1,1
ADCY10,1
ADCY2,1
ADCY7,1
ADD2,1
ADGRA1,1
ADGRA2,2
ADGRA3,1
ADGRB1,1
ADGRB2,1
ADGRB3,3
ADGRD1,1
ADGRF1,1
ADGRF3,1
ADGRF4,1
ADGRF5,1
ADGRG5,1
ADGRG6,1
ADGRG7,1
ADGRL2,2
ADGRV1,6
ADH1B,1
ADH4,1
ADH7,2
ADIPOR1,1
ADK,1
ADM,1
ADNP,1
ADO,2
ADPGK,1
ADPRM,1
ADRA1A,1
ADRA2B,1
ADSSL1,1
AFF2,2
AFM,3
AFMID,1
AFTPH,1
AGAP5,1
AGAP6,1
AGBL1,1
AGFG1,2
AGGF1,1
AGL,1
AGMO,1
AGPAT2,1
AGPAT6,1
AGPS,1
AGR2,1
AGXT2,1
AHCYL1,1
AHNAK,1
AHNAK2,2
AHR,1
AHRR,1
AICDA,1
AIFM3,1
AIM1,4
AJAP1,2
AK7,2
AK9,1
AKAP11,2
AKAP12,2
AKAP13,3
AKAP4,1
AKAP7,1
AKAP8,1
AKAP9,5
AKNAD1,1
AKR1D1,1
AKT1,5
AKT2,2
AKT3,1
ALB,1
ALCAM,1
ALDH18A1,1
ALDH1L1,1
ALDH2,2
ALDH3A2,1
ALDH5A1,1
ALDH6A1,1
ALDOB,1
ALG10B,1
ALG11,1
ALG13,2
ALG3,1
ALG8,1
ALK,1
ALKBH6,1
ALMS1,3
ALOX12B,2
ALOX5,1
ALOXE3,1
ALPK1,3
ALPK2,1
ALPK3,2
ALS2,1
ALS2CL,1
ALS2CR11,1
ALS2CR12,1
ALX3,1
AMBN,1
AMBP,1
AMDHD1,2
AMOTL1,1
AMOTL2,1
AMPD2,2
AMPD3,1
ANAPC2,1
ANAPC5,1
ANGEL2,1
ANGPT1,1
ANGPT2,2
ANGPTL1,1
ANGPTL2,1
ANGPTL4,1
ANGPTL7,1
ANK1,3
ANK2,2
ANK3,1
ANKAR,2
ANKEF1,1
ANKH,1
ANKHD1-EIF4EBP3,1
ANKIB1,1
ANKK1,1
ANKLE1,2
ANKMY1,2
ANKRD11,1
ANKRD12,3
ANKRD17,2
ANKRD20A1,1
ANKRD20A2,1
ANKRD24,1
ANKRD26,3
ANKRD28,1
ANKRD30A,3
ANKRD32,1
ANKRD35,2
ANKRD36,1
ANKRD42,1
ANKRD45,1
ANKRD50,1
ANKS1A,2
ANKS1B,1
ANKZF1,1
ANO2,1
ANO3,1
ANO5,1
ANO6,1
ANO8,1
ANP32A,1
ANPEP,1
ANTXR2,1
ANXA3,1
ANXA7,2
AOC1,3
AOX1,3
AP2A2,1
AP2B1,1
AP3B1,4
AP3D1,1
AP3M1,1
AP3M2,1
AP3S1,1
AP4B1,1
AP5B1,2
APAF1,1
APBB1,2
APC,5
APLF,1
APOA4,1
APOB,5
APOBEC1,1
APOBR,2
APOL2,1
APOL5,1
APOL6,1
APPBP2,1
APPL1,1
AQP4,1
AQP5,1
AQP6,1
AQP9,1
ARAP2,1
ARAP3,3
ARC,1
ARCN1,2
ARFGEF1,1
ARFGEF2,5
ARFGEF3,3
ARFIP1,1
ARFIP2,2
ARHGAP15,1
ARHGAP17,1
ARHGAP18,2
ARHGAP20,1
ARHGAP26,1
ARHGAP28,1
ARHGAP29,2
ARHGAP30,1
ARHGAP32,1
ARHGAP33,1
ARHGAP36,1
ARHGAP4,3
ARHGAP5,1
ARHGEF10,1
ARHGEF10L,1
ARHGEF12,1
ARHGEF15,1
ARHGEF18,1
ARHGEF2,1
ARHGEF39,1
ARHGEF4,1
ARHGEF40,2
ARHGEF5,1
ARHGEF6,1
ARHGEF7,1
ARID1B,1
ARID2,4
ARID3B,1
ARID4A,2
ARID5A,1
ARL14,1
ARMC1,1
ARMC12,1
ARMC3,2
ARMCX1,1
ARMCX2,1
ARMCX3,1
ARMT1,1
ARRB1,1
ARRDC2,1
ARRDC3,2
ARRDC4,1
ARRDC5,1
ARSF,1
ARSG,1
ARSH,1
ARSI,2
ARSJ,2
ARSK,1
ARVCF,1
ARX,1
ASAP1,2
ASAP2,1
ASB10,1
ASB12,2
ASCC3,1
ASH1L,1
ASIC4,1
ASMT,1
ASPDH,1
ASPM,2
ASRGL1,1
ASTN2,1
ASXL1,1
ATAD2,1
ATAD5,4
ATG12,1
ATG14,1
ATG2A,1
ATG2B,3
ATG3,1
ATIC,1
ATM,6
ATMIN,1
ATN1,2
ATP10B,1
ATP10D,2
ATP11B,2
ATP11C,2
ATP12A,2
ATP13A4,1
ATP13A5,2
ATP1A1,1
ATP1A2,2
ATP1B4,1
ATP2A2,1
ATP2B3,1
ATP2B4,2
ATP2C1,1
ATP2C2,1
ATP4A,2
ATP5B,1
ATP6V1A,1
ATP6V1B2,1
ATP6V1C1,1
ATP7B,1
ATP8B1,1
ATP8B3,1
ATP9B,1
ATPAF1,1
ATR,3
ATRX,3
ATXN2,1
ATXN2L,2
ATXN7,1
ATXN7L1,1
ATXN7L2,1
AUP1,1
AUTS2,1
AVP,1
AXIN1,1
AZGP1,1
B2M,1
B3GALT5,1
B3GAT1,1
B3GNT3,1
B3GNT5,2
B3GNTL1,1
B4GALNT3,1
BAAT,1
BACH1,3
BAD,2
BAG2,1
BANK1,1
BAZ1A,1
BAZ1B,1
BAZ2B,3
BBS12,2
BBS7,1
BCAN,1
BCAP29,2
BCAP31,1
BCAR3,2
BCAT1,2
BCCIP,1
BCHE,3
BCKDK,1
BCL11A,1
BCL2L12,3
BCL2L14,1
BCL6,1
BCL9,2
BCOR,1
BDH1,2
BDH2,1
BDP1,10
BECN1,1
BEND2,1
BEND3,1
BEND4,1
BEND6,1
BEST3,1
BFAR,2
BFSP2,2
BGN,2
BHLHE40,1
BICC1,1
BICD1,2
BIRC2,1
BIRC3,1
BIRC6,3
BLM,1
BLMH,1
BLZF1,2
BMP1,1
BMP2K,1
BMP6,1
BMS1,1
BNC2,3
BNIP1,1
BNIPL,1
BOC,1
BOD1L1,2
BOLL,1
BPI,1
BPIFB6,1
BPIFC,1
BPTF,5
BRAF,284
BRCA1,5
BRCA2,4
BRD3,1
BRD4,1
BRD7,1
BRD8,1
BRDT,1
BRF2,1
BRIP1,1
BRIX1,1
BRWD1,2
BRWD3,1
BSG,1
BSN,2
BSPRY,2
BTBD3,1
BTBD6,1
BTBD7,1
BTN2A1,1
BTN3A3,2
BZRAP1,1
C10orf11,1
C10orf12,2
C10orf2,2
C10orf62,1
C10orf71,1
C10orf76,1
C10orf90,2
C11orf58,1
C11orf63,1
C11orf70,1
C11orf74,1
C11orf87,3
C12orf40,1
C14orf166,1
C14orf183,1
C14orf79,1
C15orf39,1
C15orf57,1
C16orf46,1
C16orf58,1
C16orf72,2
C16orf86,2
C16orf91,1
C17orf59,1
C19orf35,1
C19orf52,1
C19orf57,1
C1orf101,1
C1orf112,1
C1orf141,1
C1orf210,1
C1orf27,1
C1orf74,1
C1QL4,1
C1R,2
C20orf141,1
C21orf2,1
C2CD3,4
C2CD5,1
C2orf15,1
C2orf16,2
C2orf44,1
C2orf83,1
C3,1
C3AR1,1
C3orf62,1
C4A,1
C4BPA,3
C4orf22,1
C4orf33,1
C5,1
C5orf42,3
C6,2
C6orf203,1
C6orf47,1
C7,1
C7orf33,1
C7orf57,1
C8orf34,1
C8orf46,1
C8orf58,1
C9,1
C9orf116,2
C9orf152,1
C9orf47,1
C9orf50,1
C9orf72,1
CA13,2
CAB39L,1
CACHD1,1
CACNA1A,2
CACNA1B,3
CACNA1C,1
CACNA1D,1
CACNA1E,3
CACNA1G,2
CACNA1H,1
CACNA1S,1
CACNA2D1,1
CACNA2D3,1
CACNA2D4,2
CACNG8,1
CACTIN,1
CACUL1,1
CAD,1
CADM1,1
CADPS2,1
CALCB,1
CALCR,1
CALCRL,1
CALD1,1
CALHM2,1
CAMK2A,1
CAMKK2,1
CAMKV,1
CAMP,1
CAMSAP2,2
CAND1,3
CAP2,1
CAPN13,1
CAPN15,1
CAPN9,1
CAPZA3,1
CARD10,2
CARD6,1
CARF,1
CARHSP1,1
CASC10,1
CASC5,3
CASD1,2
CASK,1
CASKIN1,1
CASKIN2,1
CASP10,1
CASP14,1
CASP5,1
CASP6,1
CASP8AP2,1
CAST,1
CASZ1,2
CATSPER4,2
CATSPERD,1
CATSPERG,1
CBFA2T2,1
CBLB,1
CBR1,1
CBWD1,1
CBWD3,1
CBX5,1
CBX6,1
CC2D1A,1
CC2D2A,1
CCAR1,1
CCAR2,1
CCBL2,2
CCDC110,1
CCDC112,1
CCDC122,1
CCDC129,2
CCDC132,1
CCDC136,3
CCDC14,1
CCDC144A,1
CCDC148,1
CCDC150,2
CCDC155,1
CCDC158,2
CCDC170,2
CCDC171,2
CCDC18,1
CCDC180,4
CCDC181,1
CCDC24,1
CCDC27,1
CCDC28A,1
CCDC30,4
CCDC38,1
CCDC39,2
CCDC42,1
CCDC6,2
CCDC62,1
CCDC63,1
CCDC67,1
CCDC68,1
CCDC73,1
CCDC80,1
CCDC82,1
CCDC88A,1
CCDC97,1
CCER1,1
CCKAR,1
CCL23,1
CCNG2,2
CCNJ,1
CCNT1,2
CCPG1,1
CCRN4L,1
CCT2,1
CCT5,1
CCT6B,1
CCT8,2
CD101,1
CD109,1
CD163,2
CD163L1,1
CD180,1
CD200R1L,1
CD248,1
CD38,2
CD3D,1
CD3G,1
CD40LG,1
CD46,1
CD5,1
CD84,1
CD93,1
CDAN1,1
CDC27,2
CDC42BPB,1
CDC7,1
CDCA2,2
CDH10,1
CDH11,1
CDH12,1
CDH13,1
CDH17,1
CDH19,1
CDH23,2
CDH26,1
CDH4,1
CDH6,1
CDH7,2
CDH8,2
CDHR1,1
CDHR2,1
CDHR3,1
CDK11A,1
CDK12,1
CDK13,1
CDK9,0
CDKAL1,4
CDKL5,1
CDKN1A,1
CDKN2A,1
CDKN2C,2
CDR2,1
CDS2,1
CDV3,1
CEACAM4,1
CECR2,2
CELF2,1
CELF5,1
CELSR1,4
CELSR3,1
CEMIP,2
CENPE,1
CENPF,3
CENPI,1
CENPL,2
CENPT,1
CENPW,1
CEP120,2
CEP126,1
CEP128,2
CEP152,1
CEP164,2
CEP192,3
CEP250,2
CEP290,3
CEP350,4
CEP57,1
CEP57L1,1
CEP63,3
CEP68,1
CEP83,1
CEP85,1
CEP85L,1
CEP89,1
CEP95,2
CERKL,1
CES1,1
CES5A,1
CFAP43,1
CFAP44,1
CFAP45,1
