,Corr,P
A4GALT,-0.538626691852286,4.89922681103925e-39
ABCA10,-0.422691631293592,3.93685090196346e-23
ABCA4,-0.400746831892988,9.46008878191899e-21
ABCA6,-0.506742812773273,4.8751969089324e-34
ABCA9,-0.490170083481337,1.21502340815927e-31
ABCC10,-0.501568267805462,2.82108544510545e-33
ABL2,-0.49650806674455,1.52578881339864e-32
AC012651.1,-0.510539439959909,1.31897277861955e-34
AC013394.1,-0.46650934024026,1.93622996870573e-28
AC090004.1,-0.51314823335239,5.32052224660027e-35
ACAP3,-0.469507222685679,7.85038388637407e-29
ACAT1,0.433783518934806,2.10632647853356e-24
ACIN1,-0.444669787932854,1.06905164497061e-25
ACKR4,-0.436861055819625,9.16846952557241e-25
ACSL5,-0.471888883155758,3.80750730197684e-29
ACTA2,-0.543776419379546,6.789891056775e-40
ACTN1,-0.55104370954452,3.93668569606907e-41
ACTN4,-0.479920153918242,3.18109115006391e-30
ADAM12,-0.475984216654838,1.08262058806938e-29
ADAM23,-0.419263146926795,9.52288519091799e-23
ADAM32,-0.420730830101437,6.53259222703887e-23
ADAMTS1,-0.541913862665841,1.39313527504342e-39
ADAMTS10,-0.617849301025966,4.54979067856242e-54
ADAMTS12,-0.419241284640689,9.5763642500252e-23
ADAMTS14,-0.423692204968738,3.03641286069365e-23
ADAMTS2,-0.508950944762496,2.28376370600479e-34
ADAMTS4,-0.473496773031487,2.32855749565007e-29
ADAMTS6,-0.563900863477304,2.14458831724129e-43
ADAMTS7,-0.52308388773334,1.55847907166021e-36
ADAMTS9,-0.47252969926599,3.13087434518661e-29
ADAMTSL1,-0.578072170941202,5.23064487095379e-46
ADAMTSL4,-0.475441256036019,1.28029947779814e-29
ADARB1,-0.573769096927951,3.35258782798407e-45
ADCY3,-0.489646408458733,1.43945474166765e-31
ADCY4,-0.516112910051676,1.87814606471638e-35
ADCY6,-0.428405529197101,8.82994836942445e-24
ADCY7,-0.441486757265166,2.58437479066047e-25
ADGRA2,-0.63986451024655,4.76626032977897e-59
ADGRE2,-0.40486579865493,3.48625151491209e-21
ADGRE5,-0.46738986517178,1.48662958291692e-28
ADGRF1,-0.470456799761293,5.88699766903833e-29
ADGRF5,-0.518802061052747,7.23884480942568e-36
ADGRL2,-0.407150432124254,1.99193632407194e-21
ADM5,-0.45638168122969,3.82954357257186e-27
ADRA1B,-0.46419445551713,3.86419140186024e-28
ADRA2A,-0.445604345758326,8.23516861835981e-26
AEBP1,-0.722371671403542,5.63622718141482e-82
AFAP1,-0.454354198953387,6.87809079904594e-27
AGER,-0.490730260256836,1.01320972528061e-31
AGO2,-0.416912834462897,1.7346641859097e-22
AGO3,-0.407417542898956,1.86523006727226e-21
AGO4,-0.404646550363225,3.67779925136473e-21
AGRN,-0.479458418185837,3.6756371270099e-30
AHNAK,-0.552689962830122,2.04522925982043e-41
AHR,-0.497718123545136,1.02165528311377e-32
AJUBA,-0.429780214938099,6.1364270539769e-24
AKAP13,-0.420825212906802,6.37576020011941e-23
AL136295.5,-0.441245822386537,2.76190495440072e-25
AL157935.2,-0.438495253134305,5.87454466382601e-25
ALPK3,-0.409565976253233,1.09702433543321e-21
ALS2CL,-0.492610367048362,5.49377354728145e-32
AMIGO2,-0.577280627497387,7.37678891538003e-46
AMPH,-0.563514846583218,2.51628040221382e-43
ANGPT1,-0.465921699043257,2.30863835020059e-28
ANGPTL2,-0.543949278415087,6.3503209648677e-40
ANGPTL5,-0.420368803722539,7.17026547340767e-23
ANKHD1,-0.401205802957611,8.47004515836361e-21
ANKLE2,-0.493305218188326,4.37731386401549e-32
ANKRD10,-0.502110468586763,2.35037840959468e-33
ANKRD13B,-0.476275460280304,9.89358642707078e-30
ANKRD13D,-0.439271936340137,4.75034858463727e-25
ANKRD29,-0.405132133904207,3.26676117890867e-21
ANKRD35,-0.512035764965971,7.84340322231506e-35
ANKRD36,-0.466453316000263,1.96900587208372e-28
ANKRD36C,-0.410249207243632,9.25887827799784e-22
ANKRD44,-0.427740143461029,1.05243508788835e-23
ANKRD65,-0.42700353444315,1.27760266101054e-23
ANKS6,-0.402468691589524,6.24307270483445e-21
ANO1,-0.441536557370545,2.5491112645799e-25
ANO8,-0.528074227204061,2.53099450437144e-37
ANTXR1,-0.495282248760315,2.28689096730577e-32
ANTXR2,-0.52474485495693,8.53907382708563e-37
ANXA1,-0.460600376441605,1.11809032954163e-27
ANXA2,-0.413551601757116,4.0563419653594e-22
AP1G2,-0.443865468571022,1.33736920833391e-25
APCDD1,-0.523813835039492,1.19687613800643e-36
APCDD1L,-0.4078568353413,1.67391847473225e-21
APLNR,-0.423478666571507,3.20969150820195e-23
APOC1,-0.406483176203396,2.34674026257057e-21
APOD,-0.51666969208932,1.5427736787047e-35
APOE,-0.420523068730644,6.89136094440991e-23
APOL4,-0.441261053582412,2.75033373091313e-25
AQP5,-0.457492269293097,2.77405184177757e-27
ARAP3,-0.496919536629554,1.33149818182641e-32
ARGLU1,-0.417609301210457,1.45295187886414e-22
ARHGAP1,-0.428513970933527,8.58059325038278e-24
ARHGAP17,-0.518180183545825,9.03131683315996e-36
ARHGAP19,-0.401898533465801,7.16609961613218e-21
ARHGAP23,-0.578346182106889,4.64271920589716e-46
ARHGAP27,-0.454831069437172,5.99520382334299e-27
ARHGAP29,-0.517544377026377,1.13182731469979e-35
ARHGAP31,-0.404161440086881,4.13927388714912e-21
ARHGAP44,-0.423825287239397,2.93312706431302e-23
ARHGAP45,-0.421876139881907,4.86177937778066e-23
ARHGDIB,-0.495754089523475,1.95740041274012e-32
ARHGEF1,-0.48883342172435,1.87166700418526e-31
ARHGEF17,-0.493338570470741,4.32978420178553e-32
ARHGEF2,-0.434861450820313,1.57551595511916e-24
ARHGEF25,-0.582166040379878,8.7050432221941e-47
ARHGEF7,-0.416226353574319,2.06490604390944e-22
ARID4B,-0.402019180520747,6.96018479899371e-21
ARID5A,-0.552077895378205,2.61012144873708e-41
ARID5B,-0.587305835797371,8.83624061732678e-48
ARL10,-0.531336553689624,7.5873999167753e-38
ARL15,-0.514579489586279,3.22246766159731e-35
ARL4C,-0.40783772777789,1.68182185766154e-21
ARL5B,-0.444004002060649,1.28682444066119e-25
ARL6IP6,-0.435125042498162,1.46729497299017e-24
ARMC4,-0.44124033102308,2.76608855873786e-25
ARNTL,-0.452785090374229,1.07925837027624e-26
ARPC4-TTLL3,-0.414861641498815,2.91637587694883e-22
ARRDC2,-0.421387155907715,5.51605108833973e-23
ARSB,-0.414459809995054,3.2274727439924e-22
ARSE,-0.426536714187653,1.44427590684312e-23
ARSJ,-0.418161476440539,1.26213066508632e-22
ASAP1,-0.491325713470308,8.34999880837652e-32
ASPN,-0.61541284648548,1.53120136471569e-53
ASXL1,-0.427264701230547,1.19279542821094e-23
ATAD2B,-0.455503819537346,4.93710487275384e-27
ATAT1,-0.481233736042143,2.10629037838746e-30
ATF3,-0.422172479005951,4.50319837734248e-23
ATF6B,-0.402425756396947,6.30829449413377e-21
ATF7IP,-0.408869131878838,1.30366878195564e-21
ATL2,-0.43258650539666,2.90422671449746e-24
ATP10A,-0.587467846015754,8.21603950158674e-48
ATP11A,-0.506762435634915,4.84257114052251e-34
ATP2B4,-0.482332512274948,1.48985693597063e-30
ATP5MC1,0.417772894232689,1.39362853293215e-22
ATP8B2,-0.46579793226921,2.39567498908492e-28
ATP8B4,-0.403315070726807,5.08497225094121e-21
ATXN1,-0.458616199337696,1.99929072794295e-27
ATXN3,-0.436250671087738,1.08202041860516e-24
ATXN7,-0.405312703184545,3.12576219137356e-21
ATXN7L3,-0.41672730505575,1.81839121211361e-22
AUTS2,-0.55374468297409,1.3418602138601e-41
AVIL,-0.457751262746262,2.57267267254245e-27
AXL,-0.538586716908093,4.97430112562157e-39
B3GAT2,-0.454871145250015,5.92632627182107e-27
B3GNT2,-0.402743500089808,5.84108557527007e-21
B3GNT5,-0.547641068843954,1.50644289099495e-40
B3GNT7,-0.410491814329073,8.7169092959384e-22
B4GALNT1,-0.462967268095362,5.56191247938214e-28
B4GALT5,-0.48021130046014,2.9037284199119e-30
BACE1,-0.46430985271969,3.73381455702902e-28
BAHCC1,-0.516625937856881,1.56682737781424e-35
BAZ1A,-0.430926099139398,4.5250456884456e-24
BAZ2B,-0.452246399265675,1.25910796475118e-26
BCAT1,-0.441556107828811,2.53539787562942e-25
BCL3,-0.42398547711096,2.81339431187374e-23
BCL6,-0.47179720999734,3.91545601189474e-29
BCL6B,-0.404821390974502,3.52423686671853e-21
BCL9,-0.443318601981847,1.55677793076716e-25
BDNF,-0.421317516010503,5.61603969562175e-23
BGN,-0.620901851132216,9.79759877077422e-55
BICC1,-0.589744974319,2.9413672645224e-48
BICD2,-0.425662355540691,1.81623926343942e-23
BLVRB,0.470449394810809,5.90024607900675e-29
BMP1,-0.59767849689616,7.69637024849691e-50
BMP4,-0.412196035339624,5.69826200270161e-22
BMPER,-0.424207107017476,2.65565759461274e-23
BMPR2,-0.412738310362021,4.97478991992742e-22
BMX,-0.426555315093056,1.4372416091364e-23
BNC2,-0.499036961348117,6.58659576273062e-33
BNIP2,-0.538268637318316,5.6137442468595e-39
BOC,-0.515578437944268,2.26769813100806e-35
BST1,-0.406112792463374,2.56987562465752e-21
BTBD19,-0.572966999608271,4.72561565909588e-45
BTG2,-0.452226643937238,1.26623844379487e-26
BTN2A1,-0.457571502589021,2.71084393898297e-27
C10orf55,-0.452358713627458,1.21931711176608e-26
C11orf95,-0.57512421142673,1.87319617580654e-45
C11orf96,-0.529058853333206,1.76189541513094e-37
C14orf39,-0.405181013996677,3.22798521231554e-21
C15orf62,-0.414283787254815,3.3738555321112e-22
C18orf54,-0.49891057198829,6.87016378752019e-33
C19orf48,0.446731857840342,6.00455069577612e-26
C1orf116,-0.428425669594537,8.78310189846512e-24
C1orf198,-0.407302937789877,1.91858959247311e-21
C1QTNF1,-0.569772324602204,1.83726281701478e-44
C1QTNF2,-0.580827595300557,1.5689103862084e-46
C1QTNF3,-0.53113722002186,8.17005181943519e-38
